Period, Population, Yearly Change, Net Change, Density
2020, 7,794,798,739, 1.05 %, 81,330,639, 52
2019, 7,713,468,100, 1.08 %, 82,377,060, 52
2018, 7,631,091,040, 1.10 %, 83,232,115, 51
2017, 7,547,858,925, 1.12 %, 83,836,876, 51
2016, 7,464,022,049, 1.14 %, 84,224,910, 50
2015, 7,379,797,139, 1.16 %, 84,506,374, 50
2014, 7,295,290,765, 1.17 %, 84,708,789, 49
2013, 7,210,581,976, 1.19 %, 84,753,917, 48
2012, 7,125,828,059, 1.20 %, 84,633,758, 48
2011, 7,041,194,301, 1.21 %, 84,370,698, 47
2010, 6,956,823,603, 1.22 %, 84,056,510, 47
2009, 6,872,767,093, 1.23 %, 83,678,407, 46
2008, 6,789,088,686, 1.24 %, 83,142,076, 46
2007, 6,705,946,610, 1.24 %, 82,428,777, 45
2006, 6,623,517,833, 1.25 %, 81,610,806, 44
2005, 6,541,907,027, 1.25 %, 80,747,638, 44
2004, 6,461,159,389, 1.25 %, 79,974,275, 43
2003, 6,381,185,114, 1.26 %, 79,411,926, 43
2002, 6,301,773,188, 1.27 %, 79,146,582, 42
2001, 6,222,626,606, 1.29 %, 79,132,783, 42
2000, 6,143,493,823, 1.31 %, 79,254,768, 41
